Joker,FRANCE 2,8.8,tt7286456,30-11-2019 16:40
Joker,RTP 1,8.8,tt7286456,29-11-2019 21:36 25-11-2019 21:00 26-11-2019 21:35 27-11-2019 21:39 28-11-2019 21:42
O Rei Leão,HOLLYWOOD HD,8.5 7,tt0110357 tt6105098,30-11-2019 11:45
Regresso ao Futuro,SYFY HD,8.5,tt0088763,25-11-2019 22:15
Metropolis,ARTE,8.3 4.8,tt0017136 tt0130118,1-12-2019 10:30 27-11-2019 02:05
Braveheart: O Desafio do Guerreiro,AXN BLACK HD,8.3,tt0112573,30-11-2019 23:11
Close Up,DEUTSCHE WELLE,8.3,tt0100234,27-11-2019 07:30 25-11-2019 19:30 26-11-2019 12:30 25-11-2019 22:30 26-11-2019 08:30 26-11-2019 03:30
Nascido Para Matar,FOX MOVIES FOX MOVIES HD,8.3,tt0093058,29-11-2019 22:50
Assalto ao Arranha-Céus,FOX MOVIES FOX MOVIES HD,8.2,tt0095016,30-11-2019 15:23 27-11-2019 23:21 28-11-2019 12:34
O Lobo de Wall Street,HOLLYWOOD HD,8.2,tt0993846,28-11-2019 23:10
Uma Mente Brilhante,AXN WHITE HD,8.2,tt0268978,1-12-2019 04:11 28-11-2019 22:14
Um Mal Nunca Vem Só,FOX MOVIES FOX MOVIES HD,8.2,tt0120735,29-11-2019 04:48
V de Vingança,AXN HD,8.2,tt0434409,28-11-2019 22:56
12 Anos Escravo,AXN HD,8.1,tt2024544,27-11-2019 00:47 29-11-2019 14:17 1-12-2019 12:36
Nostalgia,CCTV 4 HD,8.1,tt0086022,28-11-2019 03:45 1-12-2019 03:45 1-12-2019 10:30 24-11-2019 22:00 24-11-2019 22:45 25-11-2019 03:45 25-11-2019 10:30 26-11-2019 03:45 26-11-2019 12:45 27-11-2019 03:45 27-11-2019 12:45 28-11-2019 12:45 29-11-2019 03:45 30-11-2019 22:45 30-11-2019 22:00 30-11-2019 12:45 30-11-2019 03:45 29-11-2019 12:45
Bohemian Rhapsody,TVC 3 HD,8,tt1727824,25-11-2019 09:30 24-11-2019 20:15
O Feitiço do Tempo,AXN WHITE HD,8,tt0107048,29-11-2019 00:28 25-11-2019 15:55 30-11-2019 17:06
Fúria,HOLLYWOOD HD,7.9 7.6 4.2,tt0027652 tt0038540 tt2713180,1-12-2019 00:30
Manhattan,HOLLYWOOD HD,7.9,tt0079522,1-12-2019 04:25
No Limite do Amanhã,HOLLYWOOD HD,7.9,tt1631867,30-11-2019 20:35
Um Profeta,RTP 1,7.9,tt1235166,29-11-2019 01:02
O Fugitivo,EUROCHANNEL HD,7.8 6.7 6.4,tt0039402 tt0048570 tt0106977,30-11-2019 16:10 1-12-2019 05:00 28-11-2019 22:35
O Fugitivo,FOX MOVIES FOX MOVIES HD,7.8 6.7 6.4,tt0039402 tt0048570 tt0106977,1-12-2019 07:51 30-11-2019 21:15
Estado de Sítio,HOLLYWOOD HD,7.8 6.4,tt0070959 tt0133952,28-11-2019 15:35
Ocean's Eleven - Façam as Vossas Apostas,AXN BLACK HD,7.8,tt0240772,29-11-2019 15:15 1-12-2019 08:30
O Vigilante,AMC HD,7.8,tt0071360,28-11-2019 16:06 26-11-2019 18:24
Assim Nasce Uma Estrela,TVC 3 HD,7.7 7.6,tt0047522 tt1517451,24-11-2019 17:55
Uma Questão de Honra,CMTV,7.7 6.9,tt0104257 tt0182379,27-11-2019 02:30
A Troca,TVC 3 HD,7.7 6.1 3.4,tt0824747 tt0889573 tt1325031,25-11-2019 13:30 26-11-2019 06:35
A Raiz do Medo,TVC 4 HD,7.7,tt0117381,26-11-2019 18:55 27-11-2019 06:45
A Ressaca,TVC 4 HD,7.7,tt1119646,30-11-2019 00:35 29-11-2019 03:55
Gravidade,TVC 3 HD,7.7,tt1454468,27-11-2019 17:15 27-11-2019 01:50
Homem em Fúria,HOLLYWOOD HD,7.7,tt0328107,30-11-2019 01:20
O 5º Elemento,HOLLYWOOD HD,7.7,tt0119116,29-11-2019 09:20
O Aeroplano,FOX MOVIES FOX MOVIES HD,7.7,tt0080339,28-11-2019 09:12 27-11-2019 18:16 25-11-2019 15:56
Os Incorruptíveis Contra a Droga,FOX MOVIES FOX MOVIES HD,7.7,tt0067116,28-11-2019 14:41
O Último Samurai,CINEMUNDO HD,7.7,tt0325710,24-11-2019 19:55 26-11-2019 15:20
Em Queda Livre,AMC HD,7.6 5.6 4.7,tt0109676 tt0109840 tt2617828,30-11-2019 23:50
127 Horas,TVC 3 HD,7.6,tt1542344,28-11-2019 07:20 27-11-2019 15:40
28 Dias Depois,TVC 4 HD,7.6,tt0289043,28-11-2019 00:35
A Barreira Invisível,AXN BLACK HD,7.6,tt0120863,30-11-2019 06:56 28-11-2019 06:50 25-11-2019 13:09
Arma Mortífera,FOX MOVIES FOX MOVIES HD,7.6,tt0093409,1-12-2019 09:55 25-11-2019 21:15 26-11-2019 12:31
Caça ao Outubro Vermelho,AMC HD,7.6,tt0099810,25-11-2019 14:07
Europa,TVEi,7.6,tt0101829,30-11-2019 07:15
Lolita,FRANCE 5,7.6,tt0056193,25-11-2019 19:50
Moneyball - Jogada de Risco,AXN WHITE HD,7.6,tt1210166,30-11-2019 22:00
Sete Vidas,AXN WHITE HD,7.6,tt0814314,1-12-2019 00:12
Desafio Total,FOX MOVIES FOX MOVIES HD,7.5 6.3,tt0100802 tt1386703,25-11-2019 03:49
Tudo em Família,TVC 3 HD,7 5.6,tt0110168 tt0116275,29-11-2019 22:30 30-11-2019 10:35
A Invenção de Hugo,HOLLYWOOD HD,7.5,tt0970179,24-11-2019 13:35 25-11-2019 07:10
A Propósito de Llewyn Davis,FOX MOVIES FOX MOVIES HD,7.5,tt2042568,27-11-2019 07:53
Milk,HOLLYWOOD HD,7.5,tt1013753,26-11-2019 15:00
Os Fantasmas Divertem-se,TVC 3 HD,7.5,tt0094721,27-11-2019 10:50 27-11-2019 00:15
Predestinado,AXN BLACK HD,7.5,tt2397535,30-11-2019 19:38
Sideways,AXN WHITE HD,7.5,tt0375063,28-11-2019 15:55 30-11-2019 13:17 26-11-2019 22:11
The Conjuring - A Evocação,CINEMUNDO HD,7.5,tt1457767,24-11-2019 22:30 26-11-2019 03:55
A Hora Mais Negra,AXN HD,7.4 4.9,tt1093357 tt4555426,1-12-2019 02:04 24-11-2019 16:33 29-11-2019 01:12
A Missão,CINEMUNDO HD,7.4 4.6,tt0091530 tt5034474,29-11-2019 22:55
A Missão,CMTV,7.4 4.6,tt0091530 tt5034474,1-12-2019 04:01
Só Eu Posso Imaginar,TVC 3 HD,7.4,tt6450186,25-11-2019 07:35 24-11-2019 16:00
O Chef,AXN WHITE HD,7.3 6.7,tt1911553 tt2883512,27-11-2019 22:11 29-11-2019 15:55
A Armadilha,CINEMUNDO HD,7.3 6.3 6.1 5.8,tt0013704 tt0061115 tt0080503 tt0137494,24-11-2019 18:00
13 Horas: Os Soldados Secretos de Benghazi,AXN BLACK HD,7.3,tt4172430,28-11-2019 03:58 25-11-2019 10:50
A Primeira Vitória,HOLLYWOOD HD,7.3,tt0059309,28-11-2019 02:25
Capote,AXN BLACK HD,7.3,tt0379725,29-11-2019 23:18
Carneiros,RTP 1,7.3,tt3296658,27-11-2019 01:09
Invictus,AXN HD,7.3,tt1057500,26-11-2019 01:33
Larry Flynt,CMTV,7.3,tt0117318,29-11-2019 02:30
Lars e o Verdadeiro Amor,CINEMUNDO HD,7.3,tt0805564,29-11-2019 09:55
O Agente da U.N.C.L.E.,HOLLYWOOD HD,7.3,tt1638355,29-11-2019 23:25
O Fenómeno,TVC 3 HD,7.3,tt0084516,25-11-2019 15:55 25-11-2019 02:10
Os Rapazes da Noite,TVC 4 HD,7.3,tt0093437,28-11-2019 10:00 27-11-2019 18:00
RocknRolla: A Quadrilha,FOX MOVIES FOX MOVIES HD,7.3,tt1032755,28-11-2019 05:11
Ruptura Explosiva,CINEMUNDO HD,7.3,tt0102685,25-11-2019 19:05
Só os Amantes Sobrevivem,FOX MOVIES FOX MOVIES HD,7.3,tt1714915,26-11-2019 08:35 30-11-2019 07:07
Sweeney Todd: O Terrível Barbeiro de Fleet Street,TVC 4 HD,7.3,tt0408236,26-11-2019 06:15 25-11-2019 19:30
The Walk: O Desafio,AXN BLACK HD,7.3,tt3488710,25-11-2019 04:44
Sedução,EUROCHANNEL HD,7.2 6 3,tt0019850 tt0031270 tt0248459,28-11-2019 12:20 30-11-2019 05:00 25-11-2019 08:10 27-11-2019 22:15
A Idade de Adaline,HOLLYWOOD HD,7.2,tt1655441,29-11-2019 14:40
A Morte de Estaline,CINEMUNDO HD,7.2,tt4686844,29-11-2019 14:40
Arma Mortífera 2,FOX MOVIES FOX MOVIES HD,7.2,tt0097733,27-11-2019 11:00 1-12-2019 11:42 26-11-2019 21:15
Arsenal,CINEMUNDO HD,7.2,tt0019649,1-12-2019 03:55
Assalto ao Aeroporto,FOX MOVIES FOX MOVIES HD,7.2,tt0099423,28-11-2019 23:28 30-11-2019 17:41 29-11-2019 12:44
Bom Polícia\, Melhor Ladrão,CINEMUNDO HD,7.2,tt0326208,25-11-2019 12:10
Carol,ARTE,7.2,tt2402927,29-11-2019 12:40 24-11-2019 19:55
Cold Mountain,AMC HD,7.2,tt0159365,28-11-2019 18:00
Dragão Vermelho,TVC 4 HD,7.2,tt0289765,30-11-2019 23:00
Estranhos Prazeres,HOT,7.2,tt0114558,29-11-2019 09:39
Estranhos Prazeres,HOT HD,7.2,tt0114558,29-11-2019 10:39
Hatari,HOLLYWOOD HD,7.2,tt0056059,1-12-2019 08:15 26-11-2019 02:25
Momento da Verdade,AXN BLACK HD,7.2,tt0087538,26-11-2019 09:12
Paddington,HOLLYWOOD HD,7.2,tt1109624,30-11-2019 10:10
Terra Franca,RTP 2,7.2,tt8385536,30-11-2019 23:05
The Equalizer - Sem Misericórdia,AXN HD,7.2,tt0455944,28-11-2019 14:46 26-11-2019 04:37
Ultra Secreto,TVC 4 HD,7.2,tt0088286,25-11-2019 17:55
Uma Mulher Fantástica,RTP 2,7.2,tt5639354,25-11-2019 23:59
Um Ritmo Perfeito,AMC HD,7.2,tt1981677,29-11-2019 22:10 30-11-2019 14:33
Moulin Rouge,HOLLYWOOD HD,7.1 6.7 6.4,tt0019186 tt0025520 tt0044926,25-11-2019 09:15
Redenção,FOX HD,7.1 6.3 6.2,tt0043643 tt1893256 tt2271563,30-11-2019 23:00
Crepúsculo,FOX LIFE HD,7.1 5.2,tt0132064 tt1099212,29-11-2019 22:20 30-11-2019 17:46
